// Transfer(0.0): =======================================================================
{workload: 'Transfer(0.5)', scheduling: 'assign(24)', size: 65537, parallelism: 0.721, latency: 3318, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(24)', size: 32769, parallelism: 0.893, latency: 3305, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(24)', size: 16385, parallelism: 0.973, latency: 3256, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(24)', size: 8193, parallelism: 0.994, latency: 3166, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(24)', size: 4097, parallelism: 0.999, latency: 3045, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(24)', size: 2731, parallelism: 0.999, latency: 2619, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(24)', size: 2049, parallelism: 1.000, latency: 2567, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(32)', size: 65537, parallelism: 0.721, latency: 3344, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(32)', size: 32769, parallelism: 0.893, latency: 3342, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(32)', size: 16385, parallelism: 0.973, latency: 3259, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(32)', size: 8193, parallelism: 0.994, latency: 3168, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(32)', size: 4097, parallelism: 0.999, latency: 3049, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(32)', size: 2731, parallelism: 0.999, latency: 2614, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(32)', size: 2049, parallelism: 1.000, latency: 2558, iter: 1 },

// DHashMap: ============================================================================
{workload: 'DHashMap', scheduling: 'basic', size: 65537, parallelism: 0.498, latency: 561, iter: 1 },
{workload: 'DHashMap', scheduling: 'basic', size: 32769, parallelism: 0.498, latency: 550, iter: 1 },
