// Transfer(0.0): =======================================================================
{workload: 'Transfer(0.5)', scheduling: 'assign(8)', size: 8193, parallelism: 0.959, latency: 400, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(8)', size: 4097, parallelism: 0.980, latency: 186, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(8)', size: 2731, parallelism: 0.988, latency: 103, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(8)', size: 2049, parallelism: 0.992, latency: 74, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(16)', size: 65537, parallelism: 0.721, latency: 3442, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(16)', size: 32769, parallelism: 0.844, latency: 1612, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(16)', size: 16385, parallelism: 0.918, latency: 799, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(16)', size: 8193, parallelism: 0.959, latency: 399, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(16)', size: 4097, parallelism: 0.980, latency: 186, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(16)', size: 2731, parallelism: 0.988, latency: 103, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(16)', size: 2049, parallelism: 0.992, latency: 75, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(24)', size: 65537, parallelism: 0.721, latency: 3452, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(24)', size: 32769, parallelism: 0.844, latency: 1613, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(24)', size: 16385, parallelism: 0.918, latency: 800, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(24)', size: 8193, parallelism: 0.959, latency: 400, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(24)', size: 4097, parallelism: 0.980, latency: 187, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(24)', size: 2731, parallelism: 0.988, latency: 103, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(24)', size: 2049, parallelism: 0.992, latency: 73, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(32)', size: 65537, parallelism: 0.721, latency: 3454, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(32)', size: 32769, parallelism: 0.844, latency: 1614, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(32)', size: 16385, parallelism: 0.918, latency: 799, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(32)', size: 8193, parallelism: 0.959, latency: 400, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(32)', size: 4097, parallelism: 0.980, latency: 186, iter: 1 },
